"Loco","PERIOD","n_chamado","n_total","callrate_pct"
"Dal_01:3584244-3584278",2,2,24,8.33
"Dal_01:3590208-3590256",2,12,24,50
"Dal_01:3604479-3604515",2,5,24,20.83
"Dal_01:3616477-3616502",2,0,24,0
"Dal_01:3642975-3643007",2,5,24,20.83
"Dal_01:3644434-3644465",8,14,24,58.33
"Dal_01:3667695-3667723",6,11,24,45.83
"Dal_01:3681639-3681673",2,3,24,12.5
"Dal_01:3687703-3687727",2,11,24,45.83
"Dal_01:3691456-3691493",2,4,24,16.67
"Dal_01:3699410-3699446",2,11,24,45.83
"Dal_01:3712055-3712102",2,6,24,25
"Dal_01:3714049-3714087",2,15,24,62.5
"Dal_01:3736573-3736597",2,2,24,8.33
"Dal_01:3772240-3772267",5,10,24,41.67
"Dal_01:3838670-3838703",8,16,24,66.67
"Dal_01:3872949-3872997",8,5,24,20.83
"Dal_01:3873839-3873871",9,19,24,79.17
"Dal_01:3879864-3879916",3,11,24,45.83
"Dal_01:3884301-3884332",9,6,24,25
"Dal_01:3902445-3902489",2,6,24,25
"Dal_01:3908621-3908674",3,8,24,33.33
"Dal_01:3930373-3930412",6,9,24,37.5
"Dal_01:3943697-3943728",2,11,24,45.83
"Dal_01:3964725-3964783",4,9,24,37.5
"Dal_01:4007889-4007921",2,6,24,25
"Dal_01:4080017-4080048",2,6,24,25
"Dal_01:4085450-4085476",6,14,24,58.33
"Dal_01:4259248-4259282",2,9,24,37.5
"Dal_01:4272231-4272279",8,10,24,41.67
"Dal_01:4322275-4322301",2,6,24,25
"Dal_01:4322680-4322713",2,1,24,4.17
"Dal_01:4324971-4325009",2,5,24,20.83
"Dal_01:4380330-4380358",3,11,24,45.83
"Dal_01:4404825-4404889",2,1,24,4.17
"Dal_01:4412451-4412475",3,15,24,62.5
"Dal_01:4440768-4440800",5,17,24,70.83
"Dal_01:4446175-4446220",4,7,24,29.17
"Dal_01:4449492-4449524",2,2,24,8.33
"Dal_01:4482010-4482048",5,7,24,29.17
"Dal_01:4489461-4489495",2,8,24,33.33
"Dal_01:4543793-4543839",3,7,24,29.17
"Dal_01:4570854-4570903",2,6,24,25
"Dal_01:4593755-4593800",2,5,24,20.83
"Dal_01:4618262-4618289",2,7,24,29.17
"Dal_01:4770211-4770242",4,8,24,33.33
"Dal_01:4771213-4771266",3,7,24,29.17
"Dal_01:4809000-4809069",6,6,24,25
"Dal_01:4939690-4939745",2,0,24,0
"Dal_01:4942063-4942096",2,11,24,45.83
"Dal_01:4967217-4967248",3,0,24,0
"Dal_01:5009380-5009404",2,0,24,0
"Dal_01:5099676-5099702",9,12,24,50
"Dal_01:5116818-5116850",5,11,24,45.83
"Dal_01:5184644-5184671",6,9,24,37.5
"Dal_01:5283741-5283768",2,0,24,0
"Dal_01:5302064-5302098",2,11,24,45.83
"Dal_01:5321654-5321684",3,9,24,37.5
"Dal_01:5324869-5324900",4,13,24,54.17
"Dal_01:5325283-5325318",1,8,24,33.33
"Dal_01:5329733-5329766",2,2,24,8.33
"Dal_01:5351878-5351914",7,13,24,54.17
"Dal_01:5352069-5352097",6,17,24,70.83
"Dal_01:5352437-5352467",7,8,24,33.33
"Dal_01:5374689-5374734",3,9,24,37.5
"Dal_01:5377324-5377352",3,7,24,29.17
"Dal_01:5383540-5383567",2,1,24,4.17
"Dal_01:5394014-5394044",2,8,24,33.33
"Dal_01:5438918-5438958",2,9,24,37.5
"Dal_01:5443145-5443188",2,10,24,41.67
"Dal_01:5474917-5474941",1,4,24,16.67
"Dal_01:5489547-5489586",7,13,24,54.17
"Dal_01:5500482-5500536",4,8,24,33.33
"Dal_01:5503613-5503650",2,7,24,29.17
"Dal_01:5520758-5520789",2,2,24,8.33
"Dal_01:5532807-5532836",2,9,24,37.5
"Dal_01:5536536-5536561",2,6,24,25
"Dal_01:5545805-5545845",3,13,24,54.17
"Dal_01:5568459-5568498",2,7,24,29.17
"Dal_01:5571477-5571510",7,11,24,45.83
"Dal_01:5614148-5614193",2,0,24,0
"Dal_01:5623617-5623646",3,6,24,25
"Dal_01:5701780-5701815",2,6,24,25
"Dal_01:5701998-5702046",6,10,24,41.67
"Dal_01:5722050-5722076",2,3,24,12.5
"Dal_01:5729950-5729983",2,5,24,20.83
"Dal_01:5742561-5742595",2,10,24,41.67
"Dal_01:5750177-5750219",4,16,24,66.67
"Dal_01:5750501-5750539",2,7,24,29.17
"Dal_01:5750721-5750760",6,16,24,66.67
"Dal_01:5756480-5756511",2,17,24,70.83
"Dal_01:5760784-5760851",2,7,24,29.17
"Dal_01:5778527-5778559",2,7,24,29.17
"Dal_01:5804680-5804706",1,8,24,33.33
"Dal_01:5812941-5812969",2,4,24,16.67
"Dal_01:5815854-5815887",2,8,24,33.33
"Dal_01:5881771-5881797",3,10,24,41.67
"Dal_01:5883292-5883316",4,0,24,0
"Dal_01:5887505-5887529",2,0,24,0
"Dal_01:5905401-5905435",2,11,24,45.83
"Dal_01:5928349-5928400",2,3,24,12.5
"Dal_01:5940828-5940891",2,3,24,12.5
"Dal_01:6076870-6076896",2,3,24,12.5
"Dal_01:6081300-6081324",2,13,24,54.17
"Dal_01:6092392-6092422",2,12,24,50
"Dal_01:6159669-6159708",2,12,24,50
"Dal_01:6222373-6222416",7,16,24,66.67
"Dal_01:6241624-6241650",2,2,24,8.33
"Dal_01:6243789-6243824",2,3,24,12.5
"Dal_01:6246605-6246639",3,9,24,37.5
"Dal_01:6261437-6261488",2,2,24,8.33
"Dal_01:6266247-6266284",2,6,24,25
"Dal_01:6269909-6269973",2,3,24,12.5
"Dal_01:6275923-6275947",2,14,24,58.33
"Dal_01:6310301-6310325",3,14,24,58.33
"Dal_01:6318213-6318257",3,10,24,41.67
"Dal_01:6331117-6331141",2,9,24,37.5
"Dal_01:6338656-6338681",7,17,24,70.83
"Dal_01:6344983-6345013",3,16,24,66.67
"Dal_01:6357488-6357516",2,4,24,16.67
"Dal_01:6364035-6364064",2,1,24,4.17
"Dal_01:6364943-6364980",3,11,24,45.83
"Dal_01:6401188-6401228",2,2,24,8.33
"Dal_01:6412001-6412026",4,20,24,83.33
"Dal_01:6429468-6429499",3,16,24,66.67
"Dal_01:6440056-6440098",2,2,24,8.33
"Dal_01:6448015-6448049",6,13,24,54.17
"Dal_01:6452065-6452096",4,0,24,0
"Dal_01:6454626-6454677",2,0,24,0
"Dal_01:6474945-6474989",2,4,24,16.67
"Dal_01:6510718-6510751",2,3,24,12.5
"Dal_01:6514001-6514034",2,6,24,25
"Dal_01:6515631-6515663",6,7,24,29.17
"Dal_01:6523564-6523620",2,5,24,20.83
"Dal_01:6555446-6555486",7,7,24,29.17
"Dal_01:6572960-6572991",2,5,24,20.83
"Dal_01:6596342-6596368",2,15,24,62.5
"Dal_01:6604853-6604886",2,2,24,8.33
"Dal_01:6673078-6673108",2,10,24,41.67
"Dal_01:6706587-6706620",5,9,24,37.5
"Dal_01:6753097-6753142",2,8,24,33.33
"Dal_01:6791333-6791359",4,16,24,66.67
"Dal_01:6799660-6799709",2,4,24,16.67
"Dal_01:6830676-6830742",2,10,24,41.67
"Dal_01:6841138-6841173",2,4,24,16.67
"Dal_01:6842057-6842081",2,12,24,50
"Dal_01:6903771-6903809",2,3,24,12.5
"Dal_01:6922748-6922772",2,7,24,29.17
"Dal_01:6971025-6971049",2,18,24,75
"Dal_01:7028728-7028754",4,5,24,20.83
"Dal_01:7115850-7115875",3,10,24,41.67
"Dal_01:7127098-7127162",2,3,24,12.5
"Dal_01:7128661-7128710",4,16,24,66.67
"Dal_01:7135113-7135146",2,4,24,16.67
"Dal_01:7170663-7170703",4,9,24,37.5
"Dal_01:7211708-7211735",2,1,24,4.17
"Dal_01:7217580-7217613",6,18,24,75
"Dal_01:7227631-7227659",3,14,24,58.33
"Dal_01:7234509-7234541",2,14,24,58.33
"Dal_01:7256535-7256568",5,15,24,62.5
"Dal_01:7267733-7267757",2,13,24,54.17
"Dal_01:7282840-7282865",3,8,24,33.33
"Dal_01:7286921-7286960",2,0,24,0
"Dal_01:7299562-7299592",7,6,24,25
"Dal_01:7335345-7335391",2,1,24,4.17
"Dal_01:7342936-7342971",2,6,24,25
"Dal_01:7351507-7351532",2,5,24,20.83
"Dal_01:7355987-7356020",2,5,24,20.83
"Dal_01:7357327-7357353",2,8,24,33.33
"Dal_01:7363855-7363886",7,12,24,50
"Dal_01:7366316-7366349",3,11,24,45.83
"Dal_01:7367035-7367101",2,10,24,41.67
"Dal_01:7378737-7378790",2,5,24,20.83
"Dal_01:7381914-7381955",2,10,24,41.67
"Dal_01:7383607-7383646",4,13,24,54.17
"Dal_01:7386674-7386705",3,9,24,37.5
"Dal_01:7420286-7420314",2,6,24,25
"Dal_01:7484464-7484514",2,13,24,54.17
"Dal_01:9244873-9244911",2,6,24,25
"Dal_01:9245913-9245943",2,10,24,41.67
"Dal_01:9272333-9272366",2,9,24,37.5
"Dal_01:9289649-9289691",2,4,24,16.67
"Dal_01:9293401-9293431",3,13,24,54.17
"Dal_01:9340550-9340579",2,10,24,41.67
"Dal_01:9341428-9341466",3,13,24,54.17
"Dal_01:9360460-9360500",6,17,24,70.83
"Dal_01:9382514-9382540",3,17,24,70.83
"Dal_01:9383123-9383159",4,10,24,41.67
"Dal_01:9400348-9400384",3,13,24,54.17
"Dal_01:9491870-9491926",2,0,24,0
"Dal_01:9495137-9495173",2,8,24,33.33
"Dal_01:9504354-9504381",3,0,24,0
"Dal_01:9506638-9506671",2,4,24,16.67
"Dal_01:9509002-9509042",5,3,24,12.5
"Dal_01:9531152-9531195",3,9,24,37.5
"Dal_01:9532269-9532293",2,18,24,75
"Dal_01:9534340-9534368",2,6,24,25
"Dal_01:9549860-9549888",6,16,24,66.67
"Dal_01:9605905-9605929",4,5,24,20.83
"Dal_01:9612100-9612124",2,3,24,12.5
"Dal_01:9646935-9646977",2,7,24,29.17
"Dal_01:9672585-9672620",2,7,24,29.17
"Dal_01:9697733-9697786",2,2,24,8.33
"Dal_01:9753828-9753886",4,7,24,29.17
"Dal_01:9758733-9758771",2,9,24,37.5
"Dal_01:9760550-9760619",2,7,24,29.17
"Dal_01:9763661-9763702",7,18,24,75
"Dal_01:9777463-9777530",2,3,24,12.5
"Dal_01:9816612-9816642",8,16,24,66.67
"Dal_01:9829162-9829186",2,7,24,29.17
"Dal_01:9865258-9865300",2,3,24,12.5
"Dal_01:9884287-9884337",2,5,24,20.83
"Dal_01:9900058-9900098",2,9,24,37.5
"Dal_01:9901310-9901372",2,2,24,8.33
"Dal_01:9909872-9909907",2,3,24,12.5
"Dal_01:9911256-9911285",2,1,24,4.17
"Dal_01:9911605-9911630",2,8,24,33.33
"Dal_01:9924437-9924483",2,6,24,25
"Dal_01:9985012-9985050",2,0,24,0
"Dal_01:10006922-10006946",7,23,24,95.83
"Dal_01:10072119-10072143",2,14,24,58.33
"Dal_01:10120829-10120875",2,10,24,41.67
"Dal_01:10135468-10135501",2,8,24,33.33
"Dal_01:10136527-10136553",8,17,24,70.83
"Dal_01:10155073-10155100",4,20,24,83.33
"Dal_01:10168296-10168330",2,9,24,37.5
"Dal_01:10169724-10169779",2,1,24,4.17
"Dal_01:10235441-10235493",2,1,24,4.17
"Dal_01:10242075-10242112",4,10,24,41.67
"Dal_01:10248684-10248733",2,10,24,41.67
"Dal_01:10266691-10266739",2,1,24,4.17
"Dal_01:10269352-10269414",3,9,24,37.5
"Dal_01:10269800-10269840",3,10,24,41.67
"Dal_01:10289662-10289686",2,10,24,41.67
"Dal_01:10310706-10310734",1,4,24,16.67
"Dal_01:10366553-10366579",5,7,24,29.17
"Dal_01:10403673-10403701",3,19,24,79.17
"Dal_01:10404074-10404106",3,10,24,41.67
"Dal_01:10408105-10408129",3,5,24,20.83
"Dal_01:10410938-10410964",2,3,24,12.5
"Dal_01:10436477-10436506",4,14,24,58.33
"Dal_01:10441677-10441704",2,12,24,50
"Dal_01:10448831-10448866",4,8,24,33.33
"Dal_01:10472500-10472527",3,10,24,41.67
"Dal_01:10495467-10495496",2,5,24,20.83
"Dal_01:10495795-10495829",2,3,24,12.5
"Dal_01:10496059-10496097",5,17,24,70.83
"Dal_01:10510256-10510291",6,12,24,50
"Dal_01:10512392-10512417",3,6,24,25
"Dal_01:10666519-10666544",2,11,24,45.83
"Dal_01:10671688-10671726",3,3,24,12.5
"Dal_01:10681592-10681616",2,4,24,16.67
"Dal_01:10705223-10705262",2,5,24,20.83
"Dal_01:10714426-10714461",2,5,24,20.83
"Dal_01:10714535-10714559",7,5,24,20.83
"Dal_01:10729981-10730021",2,5,24,20.83
"Dal_01:10747284-10747325",2,9,24,37.5
"Dal_01:10754749-10754774",2,14,24,58.33
"Dal_01:10766301-10766344",2,7,24,29.17
"Dal_01:10768106-10768138",3,9,24,37.5
"Dal_01:10798894-10798923",1,3,24,12.5
"Dal_01:10799224-10799260",2,9,24,37.5
"Dal_01:10813293-10813321",7,14,24,58.33
"Dal_01:10825596-10825624",7,12,24,50
"Dal_01:10826161-10826199",2,5,24,20.83
"Dal_01:10828613-10828659",2,6,24,25
"Dal_01:10829418-10829471",5,9,24,37.5
"Dal_01:10850392-10850427",6,15,24,62.5
"Dal_01:10867310-10867335",6,7,24,29.17
"Dal_01:10876329-10876360",2,10,24,41.67
"Dal_01:10897517-10897545",5,9,24,37.5
"Dal_01:10898400-10898425",5,15,24,62.5
"Dal_01:10907568-10907593",5,20,24,83.33
"Dal_01:10916003-10916070",2,2,24,8.33
"Dal_01:10927323-10927378",3,12,24,50
"Dal_01:10942306-10942333",3,16,24,66.67
"Dal_01:10961550-10961578",2,4,24,16.67
"Dal_01:10964996-10965027",7,0,24,0
"Dal_01:10974283-10974323",2,10,24,41.67
"Dal_01:10978080-10978111",4,4,24,16.67
"Dal_01:10995945-10995977",2,14,24,58.33
"Dal_01:11034840-11034869",2,8,24,33.33
"Dal_01:11035135-11035164",6,20,24,83.33
"Dal_01:11037685-11037746",2,6,24,25
"Dal_01:11050065-11050089",3,17,24,70.83
"Dal_01:11052977-11053019",2,9,24,37.5
"Dal_01:11062724-11062749",3,12,24,50
"Dal_01:11136807-11136844",3,12,24,50
"Dal_01:11185297-11185343",3,2,24,8.33
"Dal_01:11203874-11203903",3,13,24,54.17
"Dal_01:11224458-11224483",8,18,24,75
"Dal_01:11231291-11231333",6,12,24,50
"Dal_01:11232387-11232415",2,11,24,45.83
"Dal_01:11241312-11241339",2,6,24,25
"Dal_01:11280558-11280590",3,14,24,58.33
"Dal_01:11280668-11280695",6,6,24,25
"Dal_01:11291336-11291387",3,12,24,50
"Dal_01:11297703-11297746",2,8,24,33.33
"Dal_01:11320074-11320119",2,2,24,8.33
"Dal_01:11336260-11336284",8,11,24,45.83
"Dal_01:11348751-11348777",3,13,24,54.17
"Dal_01:11397730-11397761",3,12,24,50
"Dal_01:11412466-11412508",2,4,24,16.67
"Dal_01:11415671-11415697",2,4,24,16.67
"Dal_01:11461151-11461184",2,8,24,33.33
"Dal_01:11491135-11491167",2,1,24,4.17
"Dal_01:11493483-11493508",2,4,24,16.67
"Dal_01:11495647-11495688",1,8,24,33.33
"Dal_01:11498179-11498235",3,7,24,29.17
"Dal_01:11498714-11498745",4,0,24,0
"Dal_01:11503156-11503184",7,11,24,45.83
"Dal_01:11510677-11510701",3,4,24,16.67
"Dal_01:11514711-11514775",3,10,24,41.67
"Dal_01:11517463-11517520",2,10,24,41.67
"Dal_01:11517656-11517688",6,6,24,25
"Dal_01:11517728-11517761",3,13,24,54.17
"Dal_01:11546798-11546842",2,8,24,33.33
"Dal_01:11548444-11548473",2,10,24,41.67
"Dal_01:11567756-11567783",5,18,24,75
"Dal_01:11571563-11571589",2,5,24,20.83
"Dal_01:11582315-11582352",2,4,24,16.67
"Dal_01:11591930-11591965",3,11,24,45.83
"Dal_01:11597584-11597615",2,6,24,25
"Dal_01:11615926-11615961",3,11,24,45.83
"Dal_01:11621222-11621269",2,11,24,45.83
"Dal_01:11635794-11635822",6,15,24,62.5
"Dal_01:11657987-11658011",7,18,24,75
"Dal_01:11661661-11661700",2,13,24,54.17
"Dal_01:11715492-11715517",3,17,24,70.83
"Dal_01:11733824-11733874",2,1,24,4.17
"Dal_01:11748316-11748355",7,12,24,50
"Dal_01:11749879-11749913",8,14,24,58.33
"Dal_01:11751119-11751151",2,8,24,33.33
"Dal_01:11759067-11759098",1,10,24,41.67
"Dal_01:11763489-11763522",2,7,24,29.17
"Dal_01:11764333-11764363",2,6,24,25
"Dal_01:11771043-11771091",2,2,24,8.33
"Dal_01:11784263-11784308",4,5,24,20.83
"Dal_01:11787699-11787758",3,12,24,50
"Dal_01:11793943-11793997",2,9,24,37.5
"Dal_01:11794154-11794185",2,7,24,29.17
"Dal_01:11798200-11798228",3,10,24,41.67
"Dal_01:11809508-11809572",2,2,24,8.33
"Dal_01:11814719-11814786",3,13,24,54.17
"Dal_01:11831395-11831419",2,12,24,50
"Dal_01:11841237-11841278",3,10,24,41.67
"Dal_01:11862367-11862405",3,17,24,70.83
"Dal_01:11872005-11872066",2,6,24,25
"Dal_01:11897995-11898022",2,8,24,33.33
"Dal_01:11938638-11938675",2,9,24,37.5
"Dal_01:11948805-11948846",2,3,24,12.5
"Dal_01:11971123-11971166",3,17,24,70.83
"Dal_01:11992344-11992375",3,6,24,25
"Dal_01:11993016-11993060",3,10,24,41.67
"Dal_01:12030176-12030203",2,13,24,54.17
"Dal_01:12062233-12062291",2,1,24,4.17
"Dal_01:12065975-12066008",2,8,24,33.33
"Dal_01:12084028-12084052",3,12,24,50
"Dal_01:12114153-12114189",2,12,24,50
"Dal_01:12125060-12125119",2,3,24,12.5
"Dal_01:12151560-12151593",4,14,24,58.33
"Dal_01:12171382-12171414",6,10,24,41.67
"Dal_01:12200153-12200215",2,10,24,41.67
"Dal_01:12236463-12236492",1,5,24,20.83
"Dal_01:12236996-12237021",3,18,24,75
"Dal_01:12246371-12246436",4,5,24,20.83
"Dal_01:12247902-12247928",3,16,24,66.67
"Dal_01:12260080-12260108",8,15,24,62.5
"Dal_01:12271503-12271532",3,14,24,58.33
"Dal_01:12288652-12288702",2,6,24,25
"Dal_01:12294710-12294738",4,8,24,33.33
"Dal_01:12303793-12303824",4,2,24,8.33
"Dal_01:12304364-12304392",3,15,24,62.5
"Dal_01:12320180-12320248",3,7,24,29.17
"Dal_01:12357657-12357684",2,4,24,16.67
"Dal_01:12360361-12360385",3,16,24,66.67
"Dal_01:12380144-12380180",6,7,24,29.17
"Dal_01:12407668-12407693",3,13,24,54.17
"Dal_01:12413909-12413940",2,5,24,20.83
"Dal_01:12417500-12417534",6,16,24,66.67
"Dal_01:12424393-12424438",3,15,24,62.5
"Dal_01:12465924-12465950",2,5,24,20.83
"Dal_01:12488680-12488705",4,12,24,50
"Dal_01:12495720-12495755",3,15,24,62.5
"Dal_01:12497185-12497209",5,23,24,95.83
"Dal_01:12529876-12529904",2,13,24,54.17
"Dal_01:12535250-12535279",6,11,24,45.83
"Dal_01:12564206-12564248",2,4,24,16.67
"Dal_01:12574689-12574732",2,11,24,45.83
"Dal_01:12594528-12594552",2,4,24,16.67
"Dal_01:12611306-12611336",2,2,24,8.33
"Dal_01:12636290-12636321",2,1,24,4.17
"Dal_01:12644328-12644365",3,12,24,50
"Dal_01:12654907-12654945",2,14,24,58.33
"Dal_01:12715935-12715962",2,4,24,16.67
"Dal_01:12772086-12772129",5,0,24,0
"Dal_01:12773856-12773884",3,18,24,75
"Dal_01:12774931-12774974",3,9,24,37.5
"Dal_01:12812892-12812924",3,4,24,16.67
"Dal_01:12816020-12816077",2,2,24,8.33
"Dal_01:12816607-12816644",2,12,24,50
"Dal_01:12817258-12817287",2,10,24,41.67
"Dal_01:12827759-12827807",2,1,24,4.17
"Dal_01:12868167-12868205",6,14,24,58.33
"Dal_01:12911790-12911815",3,8,24,33.33
